geoCode,Elasticsearch,date
AF,0,2023-10-22
AL,0,2023-10-22
DZ,0,2023-10-22
AS,0,2023-10-22
AD,0,2023-10-22
AO,0,2023-10-22
AI,0,2023-10-22
AQ,0,2023-10-22
AG,0,2023-10-22
AR,1,2023-10-22
AM,0,2023-10-22
AW,0,2023-10-22
AU,2,2023-10-22
AT,3,2023-10-22
AZ,0,2023-10-22
BS,0,2023-10-22
BH,0,2023-10-22
BD,0,2023-10-22
BB,0,2023-10-22
BY,0,2023-10-22
BE,3,2023-10-22
BZ,0,2023-10-22
BJ,0,2023-10-22
BM,0,2023-10-22
BT,0,2023-10-22
BO,0,2023-10-22
BA,0,2023-10-22
BW,0,2023-10-22
BV,0,2023-10-22
BR,1,2023-10-22
IO,0,2023-10-22
VG,0,2023-10-22
BN,0,2023-10-22
BG,0,2023-10-22
BF,0,2023-10-22
BI,0,2023-10-22
KH,0,2023-10-22
CM,0,2023-10-22
CA,3,2023-10-22
CV,0,2023-10-22
BQ,0,2023-10-22
KY,0,2023-10-22
CF,0,2023-10-22
TD,0,2023-10-22
CL,0,2023-10-22
CN,100,2023-10-22
CX,0,2023-10-22
CC,0,2023-10-22
CO,1,2023-10-22
KM,0,2023-10-22
CG,0,2023-10-22
CD,0,2023-10-22
CK,0,2023-10-22
CR,0,2023-10-22
HR,0,2023-10-22
CU,0,2023-10-22
CW,0,2023-10-22
CY,0,2023-10-22
CZ,4,2023-10-22
CI,0,2023-10-22
DK,4,2023-10-22
DJ,0,2023-10-22
DM,0,2023-10-22
DO,0,2023-10-22
EC,0,2023-10-22
EG,1,2023-10-22
SV,0,2023-10-22
GQ,0,2023-10-22
ER,0,2023-10-22
EE,0,2023-10-22
SZ,0,2023-10-22
ET,0,2023-10-22
FK,0,2023-10-22
FO,0,2023-10-22
FJ,0,2023-10-22
FI,3,2023-10-22
FR,4,2023-10-22
GF,0,2023-10-22
PF,0,2023-10-22
TF,0,2023-10-22
GA,0,2023-10-22
GM,0,2023-10-22
GE,0,2023-10-22
DE,3,2023-10-22
GH,0,2023-10-22
GI,0,2023-10-22
GR,3,2023-10-22
GL,0,2023-10-22
GD,0,2023-10-22
GP,0,2023-10-22
GU,0,2023-10-22
GT,0,2023-10-22
GG,0,2023-10-22
GN,0,2023-10-22
GW,0,2023-10-22
GY,0,2023-10-22
HT,0,2023-10-22
HM,0,2023-10-22
HN,0,2023-10-22
HK,9,2023-10-22
HU,3,2023-10-22
IS,0,2023-10-22
IN,3,2023-10-22
ID,1,2023-10-22
IR,1,2023-10-22
IQ,0,2023-10-22
IE,4,2023-10-22
IM,0,2023-10-22
IL,9,2023-10-22
IT,1,2023-10-22
JM,0,2023-10-22
JP,2,2023-10-22
JE,0,2023-10-22
JO,0,2023-10-22
KZ,0,2023-10-22
KE,0,2023-10-22
KI,0,2023-10-22
XK,0,2023-10-22
KW,0,2023-10-22
KG,0,2023-10-22
LA,0,2023-10-22
LV,0,2023-10-22
LB,0,2023-10-22
LS,0,2023-10-22
LR,0,2023-10-22
LY,0,2023-10-22
LI,0,2023-10-22
LT,0,2023-10-22
LU,0,2023-10-22
MO,0,2023-10-22
MG,0,2023-10-22
MW,0,2023-10-22
MY,1,2023-10-22
MV,0,2023-10-22
ML,0,2023-10-22
MT,0,2023-10-22
MH,0,2023-10-22
MQ,0,2023-10-22
MR,0,2023-10-22
MU,0,2023-10-22
YT,0,2023-10-22
MX,0,2023-10-22
FM,0,2023-10-22
MD,0,2023-10-22
MC,0,2023-10-22
MN,0,2023-10-22
ME,0,2023-10-22
MS,0,2023-10-22
MA,3,2023-10-22
MZ,0,2023-10-22
MM,0,2023-10-22
NA,0,2023-10-22
NR,0,2023-10-22
NP,0,2023-10-22
NL,4,2023-10-22
NC,0,2023-10-22
NZ,0,2023-10-22
NI,0,2023-10-22
NE,0,2023-10-22
NG,0,2023-10-22
NU,0,2023-10-22
NF,0,2023-10-22
KP,0,2023-10-22
MK,0,2023-10-22
MP,0,2023-10-22
NO,0,2023-10-22
OM,0,2023-10-22
PK,2,2023-10-22
PW,0,2023-10-22
PS,0,2023-10-22
PA,0,2023-10-22
PG,0,2023-10-22
PY,0,2023-10-22
PE,0,2023-10-22
PH,0,2023-10-22
PN,0,2023-10-22
PL,3,2023-10-22
PT,5,2023-10-22
PR,0,2023-10-22
QA,0,2023-10-22
RO,4,2023-10-22
RU,4,2023-10-22
RW,0,2023-10-22
RE,0,2023-10-22
WS,0,2023-10-22
